type,name,code
1,국내투자,AIN
1,해외투자,AOUT
2,국내주식형,T20
2,국내주식혼합형,T21
2,국내채권혼합형,T22
2,국내채권형,T10
2,MMF,T11
2,국내부동산형,T24
2,절대수익추구형,T23
2,국내기타,T29
2,해외주식형,T60
2,해외주식혼합형,T61
2,해외채권혼합형,T62
2,해외채권형,T50
2,해외부동산형,T64
2,해외커머더티형,T65
2,해외기타,T69
3,글로벌신흥국,EW102
3,남미,EW105
3,동유럽,EW116
3,럭셔리,EN118
3,물,EN117
3,브릭스,EW120
3,삼성그룹주,EN101
3,서유럽,EW115
3,어린이펀드,EN107
3,연금저축,EG110
3,인터넷전용,ED106
3,인프라,EN116
3,장기주택마련,EG113
3,중국본토A,EN122
3,친디아,EW121
3,친환경,EN119
3,퇴직연금,EG115
3,SRI,EN106
3,원자재,EN114
3,분배식,EN125
4,ABL글로벌자산,U228
4,AB자산운용,U370
4,BNK자산운용,U240
4,DB자산운용,U216
4,DGB자산운용,U368
4,HDC자산운용,U226
4,IBK자산운용,U234
4,KB자산운용,U223
4,KTB자산운용,U306
4,NH-Amund,U232
4,골든브릿지자산운,U309
4,교보악사자산운용,U207
4,대신자산운용,U203
4,디더블유에스자산,U231
4,라자드코리아자산,U367
4,마이다스에셋자산,U303
4,맥쿼리투자신탁운,U212
4,멀티에셋자산운용,U205
4,메리츠자산운용,U365
4,미래에셋자산운용,U301
4,베어링자산운용,U302
4,브레인자산운용,U454
4,블랙록자산운용,U366
4,삼성액티브자산운,U3N9
4,삼성자산운용,U105
4,슈로더투자신탁운,U230
4,스팍스자산운용,U355
4,신영자산운용,U209
4,신한BNP파리바,U210
4,알파자산운용,U321
4,에셋원자산운용,U244
4,에셋플러스자산운,U364
4,우리자산운용,U107
4,유경PSG자산운,U305
4,유리자산운용,U307
4,유진자산운용,U214
4,이스트스프링자산,U229
4,이지스자산운용,U383
4,칸서스자산운용,U233
4,코레이트자산운용,U310
4,키움투자자산운용,U206
4,타임폴리오자산운,U3J1
4,트러스톤자산운용,U363
4,파인아시아자산운,U308
4,프랭클린템플턴투,U217
4,플러스자산운용,U311
4,피델리티자산운용,U235
4,하나UBS자산운,U102
4,하나대체투자자산,U345
4,하이자산운용,U104
4,한국투자밸류자산,U236
4,한국투자신탁운용,U101
4,한화자산운용,U213
4,현대인베스트먼트,U239
4,현대자산운용,U373
4,흥국자산운용,U224
5,10억이상 100억미만,S10100
5,100억이상 1000억미만,S1001000
5,1000억이상 5000억미만,S10005000
5,5000억이상,S5000
6,환매수수료 있음,FRY
6,환매수수료 없음,FRN
7,1% 미만,WT1
7,1%~2% 미만,WT2
7,2%~3% 미만,WT3
7,3% 이상,WT4
