idx,subsi,account,url,mkt_name,page_type,slide_YN,slide_path,toolbar_YN,toolbar_xpath,click_YN,click_xpath,desc
1,SEA,VERIZON,https://www.verizonwireless.com/,KeyVisual,HP,,,,,,,
2,SEA,VERIZON,https://www.verizonwireless.com/smartphones/,DeviceListing,SP,,,,,,,
3,SEA,VERIZON,https://www.verizonwireless.com/smartphones/apple-iphone-11-pro-max/?sku=sku3640404,lo11ProMax_256gb_24_spacegray,SP,,,,,Y,"//*[@id=""tile_container""]/div[1]/div[2]/div/div/div[2]/div/div/div[2]/div[2]/div/div[2]/div/div/p",storage select
4,SEA,VERIZON,https://www.verizonwireless.com/smartphones/apple-iphone-11-pro-max/?sku=sku3640404,lo11ProMax_64gb_24_spacegray,SP,,,,,,,
5,SEA,VERIZON,https://www.verizonwireless.com/smartphones/apple-iphone-11-pro-max/?sku=sku3640404,lo11ProMax_512gb_24_spacegray,SP,,,,,Y,"//*[@id=""tile_container""]/div[1]/div[2]/div/div/div[2]/div/div/div[2]/div[2]/div/div[3]/div/div/p",storage select
6,SEA,VERIZON,https://www.verizonwireless.com/smartphones/apple-iphone-11-pro-max/?sku=sku3640404,lo11ProMax_online_promo,SP,,,,,Y,"//*[@id=""oneTimeActivation-icon""]",online promotion select
7,SEA,VERIZON,https://www.verizonwireless.com/smartphones/apple-iphone-11-pro-max/?sku=sku3640404,lo11ProMax_promo,SP,,,,,Y,"//*[@id=""tile_container""]/div[2]/div[1]/div/div/div/span/a",promotion select
8,SEA,VERIZON,https://www.verizonwireless.com/smartphones/apple-iphone-11-pro/?sku=sku3640419,lo11Pro_64gb_24_midnightgreen,SP,,,,,,,
9,SEA,VERIZON,https://www.verizonwireless.com/smartphones/apple-iphone-11-pro/?sku=sku3640419,lo11Pro_256gb_24_midnightgreen,SP,,,,,Y,"//*[@id=""tile_container""]/div[1]/div[2]/div/div/div[2]/div/div/div[2]/div[2]/div/div[2]/div",256 storage select
10,SEA,VERIZON,https://www.verizonwireless.com/smartphones/apple-iphone-11-pro/?sku=sku3640419,lo11Pro_512gb_24_midnightgreen,SP,,,,,Y,"//*[@id=""tile_container""]/div[1]/div[2]/div/div/div[2]/div/div/div[2]/div[2]/div/div[3]/div",512 storage select
11,SEA,VERIZON,https://www.verizonwireless.com/smartphones/apple-iphone-11/?sku=sku3640430,lo11_64gb_24_midnightgreen,SP,,,,,,,
12,SEA,VERIZON,https://www.verizonwireless.com/smartphones/apple-iphone-11/?sku=sku3640430,lo11_128gb_24_midnightgreen,SP,,,,,Y,"//*[@id=""tile_container""]/div[1]/div[2]/div/div/div[2]/div/div/div[2]/div[2]/div/div[2]/div",128 storage select
13,SEA,VERIZON,https://www.verizonwireless.com/smartphones/apple-iphone-11/?sku=sku3640430,lo11_256gb_24_midnightgreen,SP,,,,,Y,"//*[@id=""tile_container""]/div[1]/div[2]/div/div/div[2]/div/div/div[2]/div[2]/div/div[3]/div",256 storage select
14,SEA,VERIZON,https://www.verizonwireless.com/smartphones/samsung-galaxy-note-10-plus-5g/?sku=sku3600288,n10+5g_256gb_36_auraglow,SP,,,,,,,
15,SEA,VERIZON,https://www.verizonwireless.com/smartphones/samsung-galaxy-note-10-plus-5g/?sku=sku3600288,n10+5g_256gb_24_auraglow,SP,,,,,Y,"//*[@id=""tile_container""]/div[1]/div[3]/div[1]/div/div[2]/div/div/div[1]/div/div[2]",24 eip select
16,SEA,VERIZON,https://www.verizonwireless.com/smartphones/samsung-galaxy-note-10-plus-5g/?sku=sku3600288,n10+5g_256gb_retail_auraglow,SP,,,,,Y,"//*[@id=""tile_container""]/div[1]/div[3]/div[1]/div/div[2]/div/div/div[1]/div/div[3]",24 eip select
17,SEA,VERIZON,https://www.verizonwireless.com/smartphones/samsung-galaxy-note-10-plus-5g/?sku=sku3600288,n10+5g_online_promo,SP,,,,,Y,"//*[@id=""tile_container""]/div[1]/div[3]/div[1]/div/div[2]/div/div/div[3]/div/a",online promotion select
18,SEA,VERIZON,https://www.verizonwireless.com/smartphones/samsung-galaxy-note-10-plus-5g/?sku=sku3600288,n10+5g_promo,SP,,,,,Y,"//*[@id=""tile_container""]/div[2]/div[1]/div/div/div/span/a",promotion select
19,SEA,VERIZON,https://www.verizonwireless.com/smartphones/samsung-galaxy-note-10-plus/?sku=sku3600275,n10+_256gb_24_aurablack,SP,,,,,,,
20,SEA,VERIZON,https://www.verizonwireless.com/smartphones/samsung-galaxy-note-10-plus/?sku=sku3600275,n10+_512gb_24_aurablack,SP,,,,,Y,"//*[@id=""tile_container""]/div[1]/div[2]/div/div/div[2]/div/div/div[2]/div[2]/div/div[2]/div",512storage select
21,SEA,VERIZON,https://www.verizonwireless.com/smartphones/samsung-galaxy-note-10/?sku=sku3600281,n10_256gb_24_aurablack,SP,,,,,Y,"//*[@id=""tile_container""]/div[2]/div[1]/div/div/div/span/a",promotion select
22,SEA,ATT,https://www.att.com/,KeyVisual,HP,,,,,,,
23,SEA,ATT,https://www.att.com/,KeyVisual_promotion,HP,,,,,Y,"//*[@id=""ALERT_BANNER1""]/div[2]/div/div/div/span/a",promotion select
23,SEA,ATT,https://www.att.com/,KeyVisual_lo11_promotion,HP,,,,,Y,"//*[@id=""HERO_PANEL2""]/div[2]/div/div/span/a",promotion select
24,SEA,ATT,https://www.att.com/buy/phones/,DeviceListing,SP,,,,,,,
25,SEA,ATT,https://www.att.com/buy/phones/apple-iphone-11-pro-max-64gb-midnight-green.html,lo11ProMax_64gb_30_spacegray,SP,,,,,,,
26,SEA,ATT,https://www.att.com/buy/phones/apple-iphone-11-pro-max-256gb-midnight-green.html,lo11ProMax_256gb_30_spacegray,SP,,,,,,,
27,SEA,ATT,https://www.att.com/buy/phones/apple-iphone-11-pro-max-512gb-midnight-green.html,lo11ProMax_512gb_30_spacegray,SP,,,,,,,
28,SEA,ATT,https://www.att.com/buy/phones/apple-iphone-11-pro-max-512gb-midnight-green.html,iPhone11_Promotion,SP,,,,,Y,"//*[@id=""__next""]/div[2]/div[1]/div/div/div/div[2]/div[2]/div[2]/div[2]/div/div/div[2]/div/p/a,//*[@id=""accordion-control-specialOffersLegal""]",
29,SEA,ATT,https://www.att.com/buy/phones/apple-iphone-11-pro-64gb-midnight-green.html,lo11Pro_64gb_30_spacegray,SP,,,,,,,
30,SEA,ATT,https://www.att.com/buy/phones/apple-iphone-11-pro-256gb-midnight-green.html,lo11Pro_256gb_30_spacegray,SP,,,,,,,
31,SEA,ATT,https://www.att.com/buy/phones/apple-iphone-11-pro-512gb-midnight-green.html,lo11Pro_512gb_30_spacegray,SP,,,,,,,
32,SEA,ATT,https://www.att.com/buy/phones/apple-iphone-11-pro-512gb-midnight-green.html,lo11Pro_promo,SP,,,,,Y,"//*[@id=""__next""]/div[2]/div[1]/div/div/div/div[2]/div[2]/div[2]/div[2]/div/div/div[2]/div/p/a",
33,SEA,ATT,https://www.att.com/buy/phones/apple-iphone-11-64gb-purple.html,lo11_64gb_30_purple,SP,,,,,,,
34,SEA,ATT,https://www.att.com/buy/phones/apple-iphone-11-128gb-purple.html,lo11_128gb_30_purple,SP,,,,,,,
35,SEA,ATT,https://www.att.com/buy/phones/apple-iphone-11-256gb-purple.html,lo11_256gb_30_purple,SP,,,,,,,
36,SEA,ATT,https://www.att.com/buy/phones/samsung-galaxy-note10-256gb-aura-glow.html,n10_256gb_36_auraglow,SP,,,,,,,
37,SEA,ATT,https://www.att.com/buy/phones/samsung-galaxy-note10-256gb-aura-glow.html,n10_promo,SP,,,,,Y,"//*[@id=""__next""]/div[2]/div[1]/div/div/div/div[2]/div[2]/div[2]/div[2]/div/div/div[2]/div/p/a",
38,SEA,ATT,https://www.att.com/buy/phones/samsung-galaxy-note10-256gb-aura-glow.html,n10_promo_2,SP,,,,,Y,"//*[@id=""__next""]/div[2]/div[1]/div/div/div/div[2]/div[2]/div[2]/div[2]/div/div/div[3]/div/p[1]/a",
39,SEA,ATT,https://www.att.com/buy/phones/samsung-galaxy-note10-256gb-aura-glow.html,n10_promo_3,SP,,,,,Y,"//*[@id=""__next""]/div[2]/div[1]/div/div/div/div[2]/div[2]/div[2]/div[2]/div/div/div[3]/div/p[2]/a",
40,SEA,ATT,https://www.att.com/buy/phones/samsung-galaxy-note10plus-256gb-aura-glow.html,n10+_256gb_30_aurablack,SP,,,,,,,
41,SEA,ATT,https://www.att.com/buy/phones/samsung-galaxy-note10plus-512gb-aura-black.html,n10+_512gb_30_aurablack,SP,,,,,,,
42,SEA,TMO,https://www.t-mobile.com/,KeyVisual,HP,,,,,,,
43,SEA,TMO,https://www.t-mobile.com/offers/apple-iphone-deals?icid=_TM_P_19APPLIPHN_0VNWX5VK179MM06Z18319_HP,iPhone_Promo,SP,,,,,,,
44,SEA,TMO,https://www.t-mobile.com/offers/apple-iphone-deals?icid=_TM_P_19APPLIPHN_0VNWX5VK179MM06Z18319_HP,iPhone_tradein,SP,,,,,Y,"//*[@id=""3266646e3077eecf8a6e340cb8fad7a855c4bae1""]/div[1]/div[2]/p/a",
45,SEA,TMO,https://www.t-mobile.com/offers/apple-iphone-deals?icid=_TM_P_19APPLIPHN_0VNWX5VK179MM06Z18319_HP,iPhone_tradein,SP,,,,,Y,"//*[@id=""3266646e3077eecf8a6e340cb8fad7a855c4bae1""]/div[1]/div[2]/div[2]/p/a",
46,SEA,TMO,https://www.t-mobile.com/offers/apple-iphone-deals?icid=_TM_P_19APPLIPHN_0VNWX5VK179MM06Z18319_HP,iPhone_50%,SP,,,,,Y,"//*[@id=""032108f00b129f6ec5e81ea266b4e1ae8d55b00f""]/div[1]/div[2]/p/a",
47,SEA,TMO,https://www.t-mobile.com/offers/apple-iphone-deals?icid=_TM_P_19APPLIPHN_0VNWX5VK179MM06Z18319_HP,iPhone_50%_2,SP,,,,,Y,"//*[@id=""032108f00b129f6ec5e81ea266b4e1ae8d55b00f""]/div[1]/div[2]/div[2]/p/a",
48,SEA,TMO,https://www.t-mobile.com/cell-phones,DeviceListing,SP,,,,,Y,,
49,SEA,TMO,https://www.t-mobile.com/cell-phone/apple-iphone-11-pro-max?sku=190199380349,lo11ProMax_64gb_24_midnightgreen,SP,,,,,,,
50,SEA,TMO,https://www.t-mobile.com/cell-phone/apple-iphone-11-pro-max?sku=190199380387,lo11ProMax_256gb_24_spacegray,SP,,,,,,,
