idx,subsi,account,url,mkt_name,page_type,slide_YN,slide_path,toolbar_YN,toolbar_xpath,click_YN,click_xpath,desc
1,seau,csw,https://www.samsung.com/au/smartphones/galaxy-note10/buy/,n10_256gb,sp_1,,,Y,"//*[@id=""header""]/div[2]/div[3]/button",Y,"//*[@id=""buyingToolsOption""]/div[1]/div[2]/ul/li[1]/div/label/div/span",
2,seau,csw,https://www.samsung.com/au/,,mp,Y,,Y,"//*[@id=""header""]/div[2]/div[3]/button",,,
3,seau,csw,https://www.samsung.com/au/smartphones/galaxy-note10/buy/,n10+_256gb,sp_1,,,Y,"//*[@id=""header""]/div[2]/div[3]/button",Y,"//*[@id=""buyingToolsOption""]/div[1]/div[2]/ul/li[2]/div/label/div/span",
4,seau,csw,https://www.samsung.com/au/offer/,,sp_2,,,Y,"//*[@id=""header""]/div[2]/div[3]/button",,,후순위(내부링크캡쳐)
5,seau,csw,https://www.samsung.com/au/smartphones/galaxy-note10/buy/,n10+5g_512gb,sp_1,,,Y,"//*[@id=""header""]/div[2]/div[3]/button",Y,"//*[@id=""buyingToolsOption""]/div[1]/div[2]/ul/li[3]/div/label/div/span",
6,SEAU,TELSTRA AU,https://www.telstra.com.au/,,mp,Y,,,,,,slide 형태지만 기다려도 안바뀜. 아래 작은 배너나 오른쪽 화살표 클릭해야함
7,SEAU,TELSTRA AU,https://www.telstra.com.au/mobile-phones/mobiles-on-a-plan#!/filter/brand//os//features//type//sort/featured,,sp_1,,,,,,,
8,SEAU,TELSTRA AU,https://www.telstra.com.au/mobile-phones/mobiles-on-a-plan/samsung/samsung-galaxy-note-10-plus,n10+_256gb_24_black,sp_1,,,,,Y,"/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[3]/fieldset/div/button[1],/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[1]/fieldset/div/button[1]","color, payment term 선택"
9,SEAU,TELSTRA AU,https://www.telstra.com.au/mobile-phones/mobiles-on-a-plan/samsung/samsung-galaxy-note-10-plus,n10+_256gb_24_silver,sp_1,,,,,Y,"/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[3]/fieldset/div/button[1],/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[1]/fieldset/div/button[2]","color, payment term 선택"
10,SEAU,TELSTRA AU,https://www.telstra.com.au/mobile-phones/mobiles-on-a-plan/samsung/samsung-galaxy-note-10-plus,n10+_256gb_36_black,sp_1,,,,,Y,"/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[3]/fieldset/div/button[2],/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[1]/fieldset/div/button[1]","color, payment term 선택"
11,SEAU,TELSTRA AU,https://www.telstra.com.au/mobile-phones/mobiles-on-a-plan/samsung/samsung-galaxy-note-10-plus,n10+_256gb_36_silver,sp_1,,,,,Y,"/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[3]/fieldset/div/button[2],/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[1]/fieldset/div/button[2]","color, payment term 선택"
12,SEAU,TELSTRA AU,https://www.telstra.com.au/mobile-phones/mobiles-on-a-plan/samsung/samsung-galaxy-note-10-plus-5g,n10+5g_512gb_24_black,sp_1,,,,,Y,"/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[3]/fieldset/div/button[1],/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[1]/fieldset/div/button[1]","color, payment term 선택"
13,SEAU,TELSTRA AU,https://www.telstra.com.au/mobile-phones/mobiles-on-a-plan/samsung/samsung-galaxy-note-10-plus-5g,n10+5g_512gb_24_silver,sp_1,,,,,Y,"/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[3]/fieldset/div/button[1],/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[1]/fieldset/div/button[2]","color, payment term 선택"
14,SEAU,TELSTRA AU,https://www.telstra.com.au/mobile-phones/mobiles-on-a-plan/samsung/samsung-galaxy-note-10-plus-5g,n10+5g_512gb_36_black,sp_1,,,,,Y,"/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[3]/fieldset/div/button[2],/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[1]/fieldset/div/button[1]","color, payment term 선택"
15,SEAU,TELSTRA AU,https://www.telstra.com.au/mobile-phones/mobiles-on-a-plan/samsung/samsung-galaxy-note-10-plus-5g,n10+5g_512gb_36_silver,sp_1,,,,,Y,"/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[3]/fieldset/div/button[2],/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[1]/fieldset/div/button[2]","color, payment term 선택"
16,SEAU,TELSTRA AU,https://www.telstra.com.au/mobile-phones/sim-only-plans,,sp_2,,,,,,,
17,SEAU,TELSTRA AU,https://www.telstra.com.au/mobile-phones/mobiles-on-a-plan/iphone/iphone-11,lo11_64gb_24,sp_1,,,,,Y,"/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[2]/fieldset/div/button[1],/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[3]/fieldset/div/button[1]","color, capacity, payment term 선택"
18,SEAU,TELSTRA AU,https://www.telstra.com.au/mobile-phones/mobiles-on-a-plan/iphone/iphone-11,lo11_64gb_36,sp_1,,,,,Y,"/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[2]/fieldset/div/button[1],/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[3]/fieldset/div/button[2]","color, capacity, payment term 선택"
19,SEAU,TELSTRA AU,https://www.telstra.com.au/mobile-phones/mobiles-on-a-plan/iphone/iphone-11,lo11_128gb_24,sp_1,,,,,Y,"/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[2]/fieldset/div/button[2],/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[3]/fieldset/div/button[1]","color, capacity, payment term 선택"
20,SEAU,TELSTRA AU,https://www.telstra.com.au/mobile-phones/mobiles-on-a-plan/iphone/iphone-11,lo11_128gb_36,sp_1,,,,,Y,"/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[2]/fieldset/div/button[2],/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[3]/fieldset/div/button[2]","color, capacity, payment term 선택"
21,SEAU,TELSTRA AU,https://www.telstra.com.au/mobile-phones/mobiles-on-a-plan/iphone/iphone-11,lo11_256gb_24,sp_1,,,,,Y,"/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[2]/fieldset/div/button[3],/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[3]/fieldset/div/button[1]","color, capacity, payment term 선택"
22,SEAU,TELSTRA AU,https://www.telstra.com.au/mobile-phones/mobiles-on-a-plan/iphone/iphone-11,lo11_256gb_36,sp_1,,,,,Y,"/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[2]/fieldset/div/button[3],/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[3]/fieldset/div/button[2]","color, capacity, payment term 선택"
23,SEAU,TELSTRA AU,https://www.telstra.com.au/mobile-phones/mobiles-on-a-plan/iphone/iphone-11-pro,lo11_pro_64gb_24,sp_1,,,,,Y,"/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[2]/fieldset/div/button[1],/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[3]/fieldset/div/button[1]","color, capacity, payment term 선택"
24,SEAU,TELSTRA AU,https://www.telstra.com.au/mobile-phones/mobiles-on-a-plan/iphone/iphone-11-pro,lo11_pro_64gb_36,sp_1,,,,,Y,"/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[2]/fieldset/div/button[1],/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[3]/fieldset/div/button[2]","color, capacity, payment term 선택"
25,SEAU,TELSTRA AU,https://www.telstra.com.au/mobile-phones/mobiles-on-a-plan/iphone/iphone-11-pro,lo11_pro_128gb_24,sp_1,,,,,Y,"/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[2]/fieldset/div/button[2],/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[3]/fieldset/div/button[1]","color, capacity, payment term 선택"
26,SEAU,TELSTRA AU,https://www.telstra.com.au/mobile-phones/mobiles-on-a-plan/iphone/iphone-11-pro,lo11_pro_128gb_36,sp_1,,,,,Y,"/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[2]/fieldset/div/button[2],/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[3]/fieldset/div/button[2]","color, capacity, payment term 선택"
27,SEAU,TELSTRA AU,https://www.telstra.com.au/mobile-phones/mobiles-on-a-plan/iphone/iphone-11-pro,lo11_pro_256gb_24,sp_1,,,,,Y,"/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[2]/fieldset/div/button[3],/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[3]/fieldset/div/button[1]","color, capacity, payment term 선택"
28,SEAU,TELSTRA AU,https://www.telstra.com.au/mobile-phones/mobiles-on-a-plan/iphone/iphone-11-pro,lo11_pro_256gb_36,sp_1,,,,,Y,"/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[2]/fieldset/div/button[3],/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[3]/fieldset/div/button[2]","color, capacity, payment term 선택"
29,SEAU,TELSTRA AU,https://www.telstra.com.au/mobile-phones/mobiles-on-a-plan/iphone/iphone-11-pro-max,lo11_pro_max_64gb_24,sp_1,,,,,Y,"/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[2]/fieldset/div/button[1],/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[3]/fieldset/div/button[1]","color, capacity, payment term 선택"
30,SEAU,TELSTRA AU,https://www.telstra.com.au/mobile-phones/mobiles-on-a-plan/iphone/iphone-11-pro-max,lo11_pro_max_64gb_36,sp_1,,,,,Y,"/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[2]/fieldset/div/button[1],/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[3]/fieldset/div/button[2]","color, capacity, payment term 선택"
31,SEAU,TELSTRA AU,https://www.telstra.com.au/mobile-phones/mobiles-on-a-plan/iphone/iphone-11-pro-max,lo11_pro_max_128gb_24,sp_1,,,,,Y,"/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[2]/fieldset/div/button[2],/html/body/div[5]/div/div/div[2]/div[1]/div[2]/div/div[2]/div[3]/fieldset/div/button[1]","color, capacity, payment term 선택"
